year,cancerType,stat,value
2000,Prostate,deathsPerMillion,110
2000,Stomach,deathsPerMillion, 45
2000,Thyroid,deathsPerMillion,4.7
2000,Urinary Bladder,deathsPerMillion, 43
2001,Brain and Other Nervous System,deaths,12609
2001,Breast,deaths,41809
2001,Cervix Uteri,deaths,4092
2001,Colon and Rectum,deaths,56808
2001,Corpus Uteri,deaths,3185
2001,Esophagus,deaths,12529
2001,Gallbladder,deaths,1971
2001,Kidney and Renal Pelvis,deaths,12078
2001,Larynx,deaths,3797
2001,Leukemias,deaths,21532
2001,Liver,deaths,10489
2001,Lung and Bronchus,deaths,155969
2001,Melanoma of the Skin,deaths,7542
2001,Myeloma,deaths,10714
2001,Non-Hodgkin Lymphoma,deaths,22305
2001,Oral Cavity and Pharynx,deaths,7701
2001,Ovary,deaths,14414
2001,Pancreas,deaths,29425
2001,Prostate,deaths,30719
2001,Stomach,deaths,12319
2001,Thyroid,deaths,1354
2001,Urinary Bladder,deaths,12225
2001,Brain and Other Nervous System,cases,17748
2001,Breast,cases,189070
2001,Cervix Uteri,cases,12462
2001,Colon and Rectum,cases,143642
2001,Corpus Uteri,cases,33657
2001,Esophagus,cases,13031
2001,Gallbladder,cases,3130
2001,Kidney and Renal Pelvis,cases,34846
2001,Larynx,cases,11390
2001,Leukemias,cases,35404
2001,Liver,cases,12016
2001,Lung and Bronchus,cases,183491
2001,Melanoma of the Skin,cases,44824
2001,Myeloma,cases,15233
2001,Non-Hodgkin Lymphoma,cases,50806
2001,Oral Cavity and Pharynx,cases,28263
2001,Ovary,cases,20383
2001,Pancreas,cases,29802
2001,Prostate,cases,197674
2001,Stomach,cases,19141
2001,Thyroid,cases,20541
2001,Urinary Bladder,cases,57317
2001,Brain and Other Nervous System,mortalityRate,0.71
2001,Breast,mortalityRate,0.22
2001,Cervix Uteri,mortalityRate,0.33
2001,Colon and Rectum,mortalityRate,0.4
2001,Corpus Uteri,mortalityRate,0.095
2001,Esophagus,mortalityRate,0.96
2001,Gallbladder,mortalityRate,0.63
2001,Kidney and Renal Pelvis,mortalityRate,0.35
2001,Larynx,mortalityRate,0.33
2001,Leukemias,mortalityRate,0.61
2001,Liver,mortalityRate,0.87
2001,Lung and Bronchus,mortalityRate,0.85
2001,Melanoma of the Skin,mortalityRate,0.17
2001,Myeloma,mortalityRate,0.7
2001,Non-Hodgkin Lymphoma,mortalityRate,0.44
2001,Oral Cavity and Pharynx,mortalityRate,0.27
2001,Ovary,mortalityRate,0.71
2001,Pancreas,mortalityRate,0.99
2001,Prostate,mortalityRate,0.16
2001,Stomach,mortalityRate,0.64
2001,Thyroid,mortalityRate,0.066
2001,Urinary Bladder,mortalityRate,0.21
2001,Brain and Other Nervous System,deathsPerMillion, 44
2001,Breast,deathsPerMillion,147
2001,Cervix Uteri,deathsPerMillion, 14
2001,Colon and Rectum,deathsPerMillion,199
2001,Corpus Uteri,deathsPerMillion, 11
2001,Esophagus,deathsPerMillion, 44
2001,Gallbladder,deathsPerMillion,6.9
2001,Kidney and Renal Pelvis,deathsPerMillion, 42
2001,Larynx,deathsPerMillion, 13
2001,Leukemias,deathsPerMillion, 76
2001,Liver,deathsPerMillion, 37
2001,Lung and Bronchus,deathsPerMillion,547
2001,Melanoma of the Skin,deathsPerMillion, 26
2001,Myeloma,deathsPerMillion, 38
2001,Non-Hodgkin Lymphoma,deathsPerMillion, 78
2001,Oral Cavity and Pharynx,deathsPerMillion, 27
2001,Ovary,deathsPerMillion, 51
2001,Pancreas,deathsPerMillion,103
2001,Prostate,deathsPerMillion,108
2001,Stomach,deathsPerMillion, 43
2001,Thyroid,deathsPerMillion,4.8
2001,Urinary Bladder,deathsPerMillion, 43
2002,Brain and Other Nervous System,deaths,12830
2002,Breast,deaths,41883
2002,Cervix Uteri,deaths,3952
2002,Colon and Rectum,deaths,56603
2002,Corpus Uteri,deaths,3187
2002,Esophagus,deaths,12700
2002,Gallbladder,deaths,1907
2002,Kidney and Renal Pelvis,deaths,12165
2002,Larynx,deaths,3722
2002,Leukemias,deaths,21581
2002,Liver,deaths,11048
2002,Lung and Bronchus,deaths,157630
2002,Melanoma of the Skin,deaths,7513
2002,Myeloma,deaths,10913
2002,Non-Hodgkin Lymphoma,deaths,21910
2002,Oral Cavity and Pharynx,deaths,7737
2002,Ovary,deaths,14682
2002,Pancreas,deaths,30126
2002,Prostate,deaths,30446
2002,Stomach,deaths,12198
2002,Thyroid,deaths,1367
2002,Urinary Bladder,deaths,12627
2002,Brain and Other Nervous System,cases,18495
2002,Breast,cases,190310
2002,Cervix Uteri,cases,12199
2002,Colon and Rectum,cases,144312
2002,Corpus Uteri,cases,34300
2002,Esophagus,cases,13260
2002,Gallbladder,cases,3006
2002,Kidney and Renal Pelvis,cases,36943
2002,Larynx,cases,11201
2002,Leukemias,cases,35034
2002,Liver,cases,13096
2002,Lung and Bronchus,cases,187294
2002,Melanoma of the Skin,cases,47251
2002,Myeloma,cases,15742
2002,Non-Hodgkin Lymphoma,cases,52464
2002,Oral Cavity and Pharynx,cases,29226
2002,Ovary,cases,20296
2002,Pancreas,cases,30263
2002,Prostate,cases,203034
2002,Stomach,cases,19623
2002,Thyroid,cases,22819
2002,Urinary Bladder,cases,58890
2002,Brain and Other Nervous System,mortalityRate,0.69
2002,Breast,mortalityRate,0.22
2002,Cervix Uteri,mortalityRate,0.32
2002,Colon and Rectum,mortalityRate,0.39
2002,Corpus Uteri,mortalityRate,0.093
2002,Esophagus,mortalityRate,0.96
2002,Gallbladder,mortalityRate,0.63
2002,Kidney and Renal Pelvis,mortalityRate,0.33
2002,Larynx,mortalityRate,0.33
2002,Leukemias,mortalityRate,0.62
2002,Liver,mortalityRate,0.84
2002,Lung and Bronchus,mortalityRate,0.84
2002,Melanoma of the Skin,mortalityRate,0.16
2002,Myeloma,mortalityRate,0.69
2002,Non-Hodgkin Lymphoma,mortalityRate,0.42
2002,Oral Cavity and Pharynx,mortalityRate,0.26
2002,Ovary,mortalityRate,0.72
2002,Pancreas,mortalityRate,  1
2002,Prostate,mortalityRate,0.15
2002,Stomach,mortalityRate,0.62
2002,Thyroid,mortalityRate,0.06
2002,Urinary Bladder,mortalityRate,0.21
2002,Brain and Other Nervous System,deathsPerMillion, 45
2002,Breast,deathsPerMillion,146
2002,Cervix Uteri,deathsPerMillion, 14
2002,Colon and Rectum,deathsPerMillion,197
2002,Corpus Uteri,deathsPerMillion, 11
2002,Esophagus,deathsPerMillion, 44
2002,Gallbladder,deathsPerMillion,6.6
2002,Kidney and Renal Pelvis,deathsPerMillion, 42
2002,Larynx,deathsPerMillion, 13
2002,Leukemias,deathsPerMillion, 75
2002,Liver,deathsPerMillion, 38
2002,Lung and Bronchus,deathsPerMillion,548
2002,Melanoma of the Skin,deathsPerMillion, 26
2002,Myeloma,deathsPerMillion, 38
2002,Non-Hodgkin Lymphoma,deathsPerMillion, 76
2002,Oral Cavity and Pharynx,deathsPerMillion, 27
2002,Ovary,deathsPerMillion, 51
2002,Pancreas,deathsPerMillion,105
2002,Prostate,deathsPerMillion,106
2002,Stomach,deathsPerMillion, 42
2002,Thyroid,deathsPerMillion,4.8
2002,Urinary Bladder,deathsPerMillion, 44
2003,Brain and Other Nervous System,deaths,12901
2003,Breast,deaths,41998
2003,Cervix Uteri,deaths,3919
2003,Colon and Rectum,deaths,55783
2003,Corpus Uteri,deaths,3261
2003,Esophagus,deaths,12860
2003,Gallbladder,deaths,1915
2003,Kidney and Renal Pelvis,deaths,12286
2003,Larynx,deaths,3791
2003,Leukemias,deaths,21608
2003,Liver,deaths,11423
2003,Lung and Bronchus,deaths,157990
2003,Melanoma of the Skin,deaths,7818
2003,Myeloma,deaths,10809
2003,Non-Hodgkin Lymphoma,deaths,21475
2003,Oral Cavity and Pharynx,deaths,7777
2003,Ovary,deaths,14657
2003,Pancreas,deaths,30777
2003,Prostate,deaths,29554
2003,Stomach,deaths,12110
2003,Thyroid,deaths,1312
2003,Urinary Bladder,deaths,12483
2003,Brain and Other Nervous System,cases,19437
2003,Breast,cases,192597
2003,Cervix Uteri,cases,12420
2003,Colon and Rectum,cases,150600
2003,Corpus Uteri,cases,35162
2003,Esophagus,cases,14419
2003,Gallbladder,cases,3276
2003,Kidney and Renal Pelvis,cases,40878
2003,Larynx,cases,11944
2003,Leukemias,cases,37731
2003,Liver,cases,14489
2003,Lung and Bronchus,cases,200202
2003,Melanoma of the Skin,cases,49369
2003,Myeloma,cases,16837
2003,Non-Hodgkin Lymphoma,cases,56172
2003,Oral Cavity and Pharynx,cases,31364
2003,Ovary,cases,21286
2003,Pancreas,cases,32890
2003,Prostate,cases,199363
2003,Stomach,cases,20799
2003,Thyroid,cases,25182
2003,Urinary Bladder,cases,62442
2003,Brain and Other Nervous System,mortalityRate,0.66
2003,Breast,mortalityRate,0.22
2003,Cervix Uteri,mortalityRate,0.32
2003,Colon and Rectum,mortalityRate,0.37
2003,Corpus Uteri,mortalityRate,0.093
2003,Esophagus,mortalityRate,0.89
2003,Gallbladder,mortalityRate,0.58
2003,Kidney and Renal Pelvis,mortalityRate,0.3
2003,Larynx,mortalityRate,0.32
2003,Leukemias,mortalityRate,0.57
2003,Liver,mortalityRate,0.79
2003,Lung and Bronchus,mortalityRate,0.79
2003,Melanoma of the Skin,mortalityRate,0.16
2003,Myeloma,mortalityRate,0.64
2003,Non-Hodgkin Lymphoma,mortalityRate,0.38
2003,Oral Cavity and Pharynx,mortalityRate,0.25
2003,Ovary,mortalityRate,0.69
2003,Pancreas,mortalityRate,0.94
2003,Prostate,mortalityRate,0.15
2003,Stomach,mortalityRate,0.58
2003,Thyroid,mortalityRate,0.052
2003,Urinary Bladder,mortalityRate,0.2
2003,Brain and Other Nervous System,deathsPerMillion, 44
2003,Breast,deathsPerMillion,145
2003,Cervix Uteri,deathsPerMillion, 14
2003,Colon and Rectum,deathsPerMillion,192
2003,Corpus Uteri,deathsPerMillion, 11
2003,Esophagus,deathsPerMillion, 44
2003,Gallbladder,deathsPerMillion,6.6
2003,Kidney and Renal Pelvis,deathsPerMillion, 42
2003,Larynx,deathsPerMillion, 13
2003,Leukemias,deathsPerMillion, 74
2003,Liver,deathsPerMillion, 39
2003,Lung and Bronchus,deathsPerMillion,545
2003,Melanoma of the Skin,deathsPerMillion, 27
2003,Myeloma,deathsPerMillion, 37
2003,Non-Hodgkin Lymphoma,deathsPerMillion, 74
2003,Oral Cavity and Pharynx,deathsPerMillion, 27
2003,Ovary,deathsPerMillion, 51
2003,Pancreas,deathsPerMillion,106
2003,Prostate,deathsPerMillion,102
2003,Stomach,deathsPerMillion, 42
2003,Thyroid,deathsPerMillion,4.5
2003,Urinary Bladder,deathsPerMillion, 43
2004,Brain and Other Nervous System,deaths,12829
2004,Breast,deaths,41316
2004,Cervix Uteri,deaths,3850
2004,Colon and Rectum,deaths,53580
2004,Corpus Uteri,deaths,3272
2004,Esophagus,deaths,13023
2004,Gallbladder,deaths,1936
2004,Kidney and Renal Pelvis,deaths,12313
2004,Larynx,deaths,3668
2004,Leukemias,deaths,21472
2004,Liver,deaths,11831
2004,Lung and Bronchus,deaths,158006
2004,Melanoma of the Skin,deaths,7952
2004,Myeloma,deaths,10578
2004,Non-Hodgkin Lymphoma,deaths,20938
2004,Oral Cavity and Pharynx,deaths,7826
2004,Ovary,deaths,14716
2004,Pancreas,deaths,31771
2004,Prostate,deaths,29002
2004,Stomach,deaths,11859
2004,Thyroid,deaths,1409
2004,Urinary Bladder,deaths,13030
2004,Brain and Other Nervous System,cases,20427
2004,Breast,cases,197386
2004,Cervix Uteri,cases,12463
2004,Colon and Rectum,cases,151659
2004,Corpus Uteri,cases,37292
2004,Esophagus,cases,15299
2004,Gallbladder,cases,3349
2004,Kidney and Renal Pelvis,cases,43858
2004,Larynx,cases,12562
2004,Leukemias,cases,39075
2004,Liver,cases,15891
2004,Lung and Bronchus,cases,206064
2004,Melanoma of the Skin,cases,53831
2004,Myeloma,cases,17908
2004,Non-Hodgkin Lymphoma,cases,59132
2004,Oral Cavity and Pharynx,cases,32457
2004,Ovary,cases,21320
2004,Pancreas,cases,34367
2004,Prostate,cases,201960
2004,Stomach,cases,21066
2004,Thyroid,cases,28130
2004,Urinary Bladder,cases,65110
2004,Brain and Other Nervous System,mortalityRate,0.63
2004,Breast,mortalityRate,0.21
2004,Cervix Uteri,mortalityRate,0.31
2004,Colon and Rectum,mortalityRate,0.35
2004,Corpus Uteri,mortalityRate,0.088
2004,Esophagus,mortalityRate,0.85
2004,Gallbladder,mortalityRate,0.58
2004,Kidney and Renal Pelvis,mortalityRate,0.28
2004,Larynx,mortalityRate,0.29
2004,Leukemias,mortalityRate,0.55
2004,Liver,mortalityRate,0.74
2004,Lung and Bronchus,mortalityRate,0.77
2004,Melanoma of the Skin,mortalityRate,0.15
2004,Myeloma,mortalityRate,0.59
2004,Non-Hodgkin Lymphoma,mortalityRate,0.35
2004,Oral Cavity and Pharynx,mortalityRate,0.24
2004,Ovary,mortalityRate,0.69
2004,Pancreas,mortalityRate,0.92
2004,Prostate,mortalityRate,0.14
2004,Stomach,mortalityRate,0.56
2004,Thyroid,mortalityRate,0.05
2004,Urinary Bladder,mortalityRate,0.2
2004,Brain and Other Nervous System,deathsPerMillion, 44
2004,Breast,deathsPerMillion,141
2004,Cervix Uteri,deathsPerMillion, 13
2004,Colon and Rectum,deathsPerMillion,183
2004,Corpus Uteri,deathsPerMillion, 11
2004,Esophagus,deathsPerMillion, 44
2004,Gallbladder,deathsPerMillion,6.6
2004,Kidney and Renal Pelvis,deathsPerMillion, 42
2004,Larynx,deathsPerMillion, 13
2004,Leukemias,deathsPerMillion, 73
2004,Liver,deathsPerMillion, 40
2004,Lung and Bronchus,deathsPerMillion,540
2004,Melanoma of the Skin,deathsPerMillion, 27
2004,Myeloma,deathsPerMillion, 36
2004,Non-Hodgkin Lymphoma,deathsPerMillion, 72
2004,Oral Cavity and Pharynx,deathsPerMillion, 27
2004,Ovary,deathsPerMillion, 50
2004,Pancreas,deathsPerMillion,109
2004,Prostate,deathsPerMillion, 99
2004,Stomach,deathsPerMillion, 41
2004,Thyroid,deathsPerMillion,4.8
2004,Urinary Bladder,deathsPerMillion, 45
2005,Brain and Other Nervous System,deaths,13152
2005,Breast,deaths,41491
2005,Cervix Uteri,deaths,3924
2005,Colon and Rectum,deaths,53005
2005,Corpus Uteri,deaths,3259
2005,Esophagus,deaths,13499
2005,Gallbladder,deaths,1989
2005,Kidney and Renal Pelvis,deaths,12517
2005,Larynx,deaths,3796
2005,Leukemias,deaths,21716
2005,Liver,deaths,12544
2005,Lung and Bronchus,deaths,159217
2005,Melanoma of the Skin,deaths,8345
2005,Myeloma,deaths,10758
2005,Non-Hodgkin Lymphoma,deaths,20873
2005,Oral Cavity and Pharynx,deaths,7773
2005,Ovary,deaths,14787
2005,Pancreas,deaths,32759
2005,Prostate,deaths,28905
2005,Stomach,deaths,11514
2005,Thyroid,deaths,1462
2005,Urinary Bladder,deaths,13253
2005,Brain and Other Nervous System,cases,20473
2005,Breast,cases,200197
2005,Cervix Uteri,cases,12755
2005,Colon and Rectum,cases,150306
2005,Corpus Uteri,cases,38419
2005,Esophagus,cases,15228
2005,Gallbladder,cases,3441
2005,Kidney and Renal Pelvis,cases,46126
2005,Larynx,cases,12488
2005,Leukemias,cases,39091
2005,Liver,cases,16881
2005,Lung and Bronchus,cases,210338
2005,Melanoma of the Skin,cases,58279
2005,Myeloma,cases,18132
2005,Non-Hodgkin Lymphoma,cases,59846
2005,Oral Cavity and Pharynx,cases,32962
2005,Ovary,cases,21560
2005,Pancreas,cases,35572
2005,Prostate,cases,203481
2005,Stomach,cases,20831
2005,Thyroid,cases,30938
2005,Urinary Bladder,cases,66137
2005,Brain and Other Nervous System,mortalityRate,0.64
2005,Breast,mortalityRate,0.21
2005,Cervix Uteri,mortalityRate,0.31
2005,Colon and Rectum,mortalityRate,0.35
2005,Corpus Uteri,mortalityRate,0.085
2005,Esophagus,mortalityRate,0.89
2005,Gallbladder,mortalityRate,0.58
2005,Kidney and Renal Pelvis,mortalityRate,0.27
2005,Larynx,mortalityRate,0.3
2005,Leukemias,mortalityRate,0.56
2005,Liver,mortalityRate,0.74
2005,Lung and Bronchus,mortalityRate,0.76
2005,Melanoma of the Skin,mortalityRate,0.14
2005,Myeloma,mortalityRate,0.59
2005,Non-Hodgkin Lymphoma,mortalityRate,0.35
2005,Oral Cavity and Pharynx,mortalityRate,0.24
2005,Ovary,mortalityRate,0.69
2005,Pancreas,mortalityRate,0.92
2005,Prostate,mortalityRate,0.14
2005,Stomach,mortalityRate,0.55
2005,Thyroid,mortalityRate,0.047
2005,Urinary Bladder,mortalityRate,0.2
2005,Brain and Other Nervous System,deathsPerMillion, 45
2005,Breast,deathsPerMillion,140
2005,Cervix Uteri,deathsPerMillion, 13
2005,Colon and Rectum,deathsPerMillion,179
2005,Corpus Uteri,deathsPerMillion, 11
2005,Esophagus,deathsPerMillion, 46
2005,Gallbladder,deathsPerMillion,6.7
2005,Kidney and Renal Pelvis,deathsPerMillion, 42
2005,Larynx,deathsPerMillion, 13
2005,Leukemias,deathsPerMillion, 73
2005,Liver,deathsPerMillion, 42
2005,Lung and Bronchus,deathsPerMillion,539
2005,Melanoma of the Skin,deathsPerMillion, 28
2005,Myeloma,deathsPerMillion, 36
2005,Non-Hodgkin Lymphoma,deathsPerMillion, 71
2005,Oral Cavity and Pharynx,deathsPerMillion, 26
2005,Ovary,deathsPerMillion, 50
2005,Pancreas,deathsPerMillion,111
2005,Prostate,deathsPerMillion, 98
2005,Stomach,deathsPerMillion, 39
2005,Thyroid,deathsPerMillion,4.9
2005,Urinary Bladder,deathsPerMillion, 45
2006,Brain and Other Nervous System,deaths,12886
2006,Breast,deaths,41209
2006,Cervix Uteri,deaths,3976
2006,Colon and Rectum,deaths,53196
2006,Corpus Uteri,deaths,3449
2006,Esophagus,deaths,13685
2006,Gallbladder,deaths,2000
2006,Kidney and Renal Pelvis,deaths,12379
2006,Larynx,deaths,3821
2006,Leukemias,deaths,22016
2006,Liver,deaths,12832
2006,Lung and Bronchus,deaths,158599
2006,Melanoma of the Skin,deaths,8441
2006,Myeloma,deaths,10712
2006,Non-Hodgkin Lymphoma,deaths,20593
2006,Oral Cavity and Pharynx,deaths,7720
2006,Ovary,deaths,14857
2006,Pancreas,deaths,33454
2006,Prostate,deaths,28372
2006,Stomach,deaths,11345
2006,Thyroid,deaths,1518
2006,Urinary Bladder,deaths,13474
2006,Brain and Other Nervous System,cases,20701
2006,Breast,cases,204729
2006,Cervix Uteri,cases,12666
2006,Colon and Rectum,cases,148376
2006,Corpus Uteri,cases,39517
2006,Esophagus,cases,15664
2006,Gallbladder,cases,3497
2006,Kidney and Renal Pelvis,cases,48549
2006,Larynx,cases,12525
2006,Leukemias,cases,40062
2006,Liver,cases,17991
2006,Lung and Bronchus,cases,211212
2006,Melanoma of the Skin,cases,58515
2006,Myeloma,cases,18300
2006,Non-Hodgkin Lymphoma,cases,60134
2006,Oral Cavity and Pharynx,cases,33993
2006,Ovary,cases,21678
2006,Pancreas,cases,36858
2006,Prostate,cases,222418
2006,Stomach,cases,20918
2006,Thyroid,cases,33303
2006,Urinary Bladder,cases,65193
2006,Brain and Other Nervous System,mortalityRate,0.62
2006,Breast,mortalityRate,0.2
2006,Cervix Uteri,mortalityRate,0.31
2006,Colon and Rectum,mortalityRate,0.36
2006,Corpus Uteri,mortalityRate,0.087
2006,Esophagus,mortalityRate,0.87
2006,Gallbladder,mortalityRate,0.57
2006,Kidney and Renal Pelvis,mortalityRate,0.25
2006,Larynx,mortalityRate,0.31
2006,Leukemias,mortalityRate,0.55
2006,Liver,mortalityRate,0.71
2006,Lung and Bronchus,mortalityRate,0.75
2006,Melanoma of the Skin,mortalityRate,0.14
2006,Myeloma,mortalityRate,0.59
2006,Non-Hodgkin Lymphoma,mortalityRate,0.34
2006,Oral Cavity and Pharynx,mortalityRate,0.23
2006,Ovary,mortalityRate,0.69
2006,Pancreas,mortalityRate,0.91
2006,Prostate,mortalityRate,0.13
2006,Stomach,mortalityRate,0.54
2006,Thyroid,mortalityRate,0.046
2006,Urinary Bladder,mortalityRate,0.21
2006,Brain and Other Nervous System,deathsPerMillion, 43
2006,Breast,deathsPerMillion,138
2006,Cervix Uteri,deathsPerMillion, 13
2006,Colon and Rectum,deathsPerMillion,178
2006,Corpus Uteri,deathsPerMillion, 12
2006,Esophagus,deathsPerMillion, 46
2006,Gallbladder,deathsPerMillion,6.7
2006,Kidney and Renal Pelvis,deathsPerMillion, 41
2006,Larynx,deathsPerMillion, 13
2006,Leukemias,deathsPerMillion, 74
2006,Liver,deathsPerMillion, 43
2006,Lung and Bronchus,deathsPerMillion,532
2006,Melanoma of the Skin,deathsPerMillion, 28
2006,Myeloma,deathsPerMillion, 36
2006,Non-Hodgkin Lymphoma,deathsPerMillion, 69
